stc_id,entity_type,entity_text,entity_length,token_count,start_pos,end_pos
PKS_001.001.025.001,LOC,VIỆT NAM,8,2,7,8
PKS_001.001.025.002,TME,lịch sử nhân loại,17,4,5,8
PKS_001.001.025.003,TITLE,Người vượn,10,2,13,14
PKS_001.001.025.004,PER,Người vượn,10,2,6,7
PKS_001.001.025.004,NUM,30 - 40 vạn,11,4,12,15
PKS_001.001.025.004,NUM,2 triệu,7,2,18,19
PKS_001.001.025.005,TME,Năm 1891,8,2,0,1
PKS_001.001.025.005,PER,Người vượn Giava,16,3,9,11
PKS_001.001.025.005,LOC,Inđônêxia,9,1,13,13
PKS_001.001.025.005,NUM,80 vạn,6,2,26,27
PKS_001.001.025.006,TME,Năm 1927,8,2,0,1
PKS_001.001.025.006,LOC,Chu Khẩu Điếm,13,3,6,8
PKS_001.001.025.006,LOC,Bắc Kinh,8,2,11,12
PKS_001.001.025.006,NUM,18 km,5,2,13,14
PKS_001.001.025.006,LOC,Bắc Kinh,8,2,20,21
PKS_001.001.025.007,PER,Người,5,1,0,0
PKS_001.001.025.007,LOC,Bắc Kinh,8,2,3,4
PKS_001.001.025.007,NUM,40 vạn,6,2,11,12
PKS_001.001.025.008,LOC,Việt Nam,8,2,2,3
PKS_001.001.025.008,PER,Người vượn,10,2,5,6
PKS_001.001.025.010,LOC,Núi Đọ,6,2,11,12
PKS_001.001.025.010,TME,cuối năm 1960,13,3,14,16
PKS_001.001.025.011,LOC,Việt Nam,8,2,5,6
PKS_001.001.025.011,TITLE,GS.,3,1,9,9
PKS_001.001.025.011,PER,P.I. Boriskovski,16,2,10,11
PKS_001.001.025.011,LOC,Núi Đọ,6,2,20,21
PKS_001.001.026.001,LOC,Núi Đọ,6,2,13,14
PKS_001.001.026.001,NUM,19° 51’ 16”,11,3,16,18
PKS_001.001.026.001,NUM,105° 43’ 35’’,13,3,23,25
PKS_001.001.026.002,LOC,Núi Đọ,6,2,2,3
PKS_001.001.026.002,LOC,Thiệu Tân,9,2,9,10
PKS_001.001.026.002,LOC,Thiệu Khánh,11,2,12,13
PKS_001.001.026.002,LOC,Đông Sơn,8,2,16,17
PKS_001.001.026.002,LOC,Thanh Hóa,9,2,19,20
PKS_001.001.026.003,LOC,Núi Đọ,6,2,0,1
PKS_001.001.026.003,NUM,20°,3,1,13,13
PKS_001.001.026.003,NUM,25°,3,1,15,15
PKS_001.001.026.003,NUM,158 m,5,2,18,19
PKS_001.001.026.003,LOC,sông Chu,8,2,31,32
PKS_001.001.026.003,LOC,sông Mã,7,2,40,41
PKS_001.001.026.003,LOC,sông Chu,8,2,43,44
PKS_001.001.026.003,LOC,Thành phố Thanh Hóa,19,4,46,49
PKS_001.001.026.003,NUM,7 km,4,2,50,51
PKS_001.001.026.007,NUM,1,1,1,8,8
PKS_001.001.026.007,NUM,95%,3,1,15,15
